,행사명,장소,행사내용,행사 시작일자,행사 종료일자,행사 시작시각,행사 종료시각,위도,경도
72,어린이뮤지컬 렛잇고2 - 광주-5,광주 5.18기념문화센터 민주홀,어린이 뮤지컬,2021-10-17,2021-10-17,13:30:00,14:30:00,35.15830536,126.8575559
73,어린이뮤지컬 렛잇고2 - 광주-6,광주 5.18기념문화센터 민주홀,어린이 뮤지컬,2021-10-17,2021-10-17,15:30:00,16:30:00,35.15830536,126.8575559
74,2021 장윤정 라이브 콘서트 - 광주-1,광주 김대중컨벤션센터 다목적홀,장윤정 라이브 콘서트,2021-10-30,2021-10-30,14:00:00,16:00:00,35.14677706,126.8404805
75,2021 장윤정 라이브 콘서트 - 광주-2,광주 김대중컨벤션센터 다목적홀,장윤정 라이브 콘서트,2021-10-30,2021-10-30,18:00:00,20:00:00,35.14677706,126.8404805
76,NEW신비아파트 뮤지컬 시즌4：비명동산의 초대장 - 광주 앵콜-1,광주 5.18기념문화센터 민주홀,가족뮤지컬,2021-11-06,2021-11-06,11:00:00,12:10:00,35.15830536,126.8575559
77,NEW신비아파트 뮤지컬 시즌4：비명동산의 초대장 - 광주 앵콜-2,광주 5.18기념문화센터 민주홀,가족뮤지컬,2021-11-06,2021-11-06,14:00:00,15:10:00,35.15830536,126.8575559
78,NEW신비아파트 뮤지컬 시즌4：비명동산의 초대장 - 광주 앵콜-3,광주 5.18기념문화센터 민주홀,가족뮤지컬,2021-11-06,2021-11-06,16:30:00,17:40:00,35.15830536,126.8575559
79,NEW신비아파트 뮤지컬 시즌4：비명동산의 초대장 - 광주 앵콜-4,광주 5.18기념문화센터 민주홀,가족뮤지컬,2021-11-07,2021-11-07,11:00:00,12:10:00,35.15830536,126.8575559
80,NEW신비아파트 뮤지컬 시즌4：비명동산의 초대장 - 광주 앵콜-5,광주 5.18기념문화센터 민주홀,가족뮤지컬,2021-11-07,2021-11-07,14:00:00,15:10:00,35.15830536,126.8575559
81,2021 가족라이브 뮤지컬 〈호두까기인형〉 - 광주-1,광주 5.18기념문화센터 민주홀,가족뮤지컬,2021-12-11,2021-12-11,11:00:00,11:55:00,35.15830536,126.8575559
82,2021 가족라이브 뮤지컬 〈호두까기인형〉 - 광주-2,광주 5.18기념문화센터 민주홀,가족뮤지컬,2021-12-11,2021-12-11,14:00:00,14:55:00,35.15830536,126.8575559
83,2021 가족라이브 뮤지컬 〈호두까기인형〉 - 광주-3,광주 5.18기념문화센터 민주홀,가족뮤지컬,2021-12-11,2021-12-11,16:00:00,16:55:00,35.15830536,126.8575559
84,2021 가족라이브 뮤지컬 〈호두까기인형〉 - 광주-4,광주 5.18기념문화센터 민주홀,가족뮤지컬,2021-12-12,2021-12-12,11:00:00,11:55:00,35.15830536,126.8575559
85,2021 가족라이브 뮤지컬 〈호두까기인형〉 - 광주-5,광주 5.18기념문화센터 민주홀,가족뮤지컬,2021-12-12,2021-12-12,14:00:00,14:55:00,35.15830536,126.8575559
86,2021 가족라이브 뮤지컬 〈호두까기인형〉 - 광주-6,광주 5.18기념문화센터 민주홀,가족뮤지컬,2021-12-12,2021-12-12,16:00:00,16:55:00,35.15830536,126.8575559
87,어린이 액션뮤지컬 〈레이디버그〉 - 광주-1,광주 5.18기념문화센터 민주홀,슈퍼히어로 레이디버그 어린이 액션뮤지컬,2021-11-27,2021-11-27,11:00:00,12:10:00,35.15830536,126.8575559
88,어린이 액션뮤지컬 〈레이디버그〉 - 광주-2,광주 5.18기념문화센터 민주홀,슈퍼히어로 레이디버그 어린이 액션뮤지컬,2021-11-27,2021-11-27,14:00:00,15:10:00,35.15830536,126.8575559
89,어린이 액션뮤지컬 〈레이디버그〉 - 광주-3,광주 5.18기념문화센터 민주홀,슈퍼히어로 레이디버그 어린이 액션뮤지컬,2021-11-27,2021-11-27,16:30:00,17:40:00,35.15830536,126.8575559
90,어린이 액션뮤지컬 〈레이디버그〉 - 광주-4,광주 5.18기념문화센터 민주홀,슈퍼히어로 레이디버그 어린이 액션뮤지컬,2021-11-28,2021-11-28,11:00:00,12:10:00,35.15830536,126.8575559
91,어린이 액션뮤지컬 〈레이디버그〉 - 광주-5,광주 5.18기념문화센터 민주홀,슈퍼히어로 레이디버그 어린이 액션뮤지컬,2021-11-28,2021-11-28,14:00:00,15:10:00,35.15830536,126.8575559
92,어린이 액션뮤지컬 〈레이디버그〉 - 광주-6,광주 5.18기념문화센터 민주홀,슈퍼히어로 레이디버그 어린이 액션뮤지컬,2021-11-28,2021-11-28,16:30:00,17:40:00,35.15830536,126.8575559
93,"2021 거미 전국투어 콘서트 〈다시, Winter Ballad〉 - 광주-1",광주 김대중컨벤션센터 다목적홀,"거미 전국투어 콘서트 <다시, Winter Ballad>",2021-12-24,2021-12-24,19:00:00,21:00:00,35.14677706,126.8404805
94,"2021 거미 전국투어 콘서트 〈다시, Winter Ballad〉 - 광주-2",광주 김대중컨벤션센터 다목적홀,"거미 전국투어 콘서트 <다시, Winter Ballad>",2021-12-25,2021-12-25,18:00:00,20:00:00,35.14677706,126.8404805
95,2021 노을 연말 투어 콘서트 ［노을이 내린 밤］- 광주-1,광주 김대중컨벤션센터 다목적홀,노을 연말 콘서트 <노을이 내린 밤>,2021-12-26,2021-12-26,14:00:00,16:00:00,35.14677706,126.8404805
96,2021 노을 연말 투어 콘서트 ［노을이 내린 밤］- 광주-2,광주 김대중컨벤션센터 다목적홀,노을 연말 콘서트 <노을이 내린 밤>,2021-12-26,2021-12-26,19:00:00,21:00:00,35.14677706,126.8404805
97,2021-22 백지영 전국투어 콘서트 〈BAEK HUG〉 - 광주-1,광주 김대중컨벤션센터 다목적홀,백지영 전국투어 콘서트 <BAEK HUG>,2021-12-04,2021-12-04,14:00:00,16:00:00,35.14677706,126.8404805
98,2021-22 백지영 전국투어 콘서트 〈BAEK HUG〉 - 광주-2,광주 김대중컨벤션센터 다목적홀,백지영 전국투어 콘서트 <BAEK HUG>,2021-12-04,2021-12-04,19:00:00,21:00:00,35.14677706,126.8404805
99,고스트 - 광주공연-화요일,상무지구 기분좋은극장,연극,2021-05-27,2021-07-25,20:00:00,21:50:00,35.15491016,126.8488483
100,고스트 - 광주공연-수요일,상무지구 기분좋은극장,연극,2021-05-27,2021-07-25,20:00:00,21:50:00,35.15491016,126.8488483
101,고스트 - 광주공연-목요일,상무지구 기분좋은극장,연극,2021-05-27,2021-07-25,20:00:00,21:50:00,35.15491016,126.8488483
102,고스트 - 광주공연-토요일1,상무지구 기분좋은극장,연극,2021-05-27,2021-07-25,15:00:00,16:50:00,35.15491016,126.8488483
103,고스트 - 광주공연-토요일2,상무지구 기분좋은극장,연극,2021-05-27,2021-07-25,18:00:00,19:50:00,35.15491016,126.8488483
104,고스트 - 광주공연-일요일,상무지구 기분좋은극장,연극,2021-05-27,2021-07-25,16:00:00,17:50:00,35.15491016,126.8488483
105,[초청] 김홍박 호른 리사이틀  컬러스 ,광주 유스퀘어문화관 금호아트홀,호른 리사이틀  컬러스 ,2021-07-12,2021-07-12,19:30:00,21:10:00,35.16057564,126.8798731
106,[제12회금호주니어콘서트] 문하원 플루트 독주회,광주 유스퀘어문화관 금호아트홀,플루트 독주,2021-07-20,2021-07-20,19:30:00,20:35:00,35.16057564,126.8798731
107,[제12회금호주니어콘서트] 김예슬 피아노 독주회,광주 유스퀘어문화관 금호아트홀,피아노 독주,2021-07-21,2021-07-21,19:00:00,19:53:00,35.16057564,126.8798731
108,"외로운 사람, 힘든 사람, 슬픈 사람-화요일",광주 유스퀘어문화관 동산아트홀,연극,2021-07-22,2021-08-01,19:30:00,21:05:00,35.16057564,126.8798731
109,"외로운 사람, 힘든 사람, 슬픈 사람-수요일",광주 유스퀘어문화관 동산아트홀,연극,2021-07-22,2021-08-01,19:30:00,21:05:00,35.16057564,126.8798731
110,"외로운 사람, 힘든 사람, 슬픈 사람-목요일",광주 유스퀘어문화관 동산아트홀,연극,2021-07-22,2021-08-01,19:30:00,21:05:00,35.16057564,126.8798731
111,"외로운 사람, 힘든 사람, 슬픈 사람-금요일",광주 유스퀘어문화관 동산아트홀,연극,2021-07-22,2021-08-01,19:30:00,21:05:00,35.16057564,126.8798731
112,"외로운 사람, 힘든 사람, 슬픈 사람-토요일",광주 유스퀘어문화관 동산아트홀,연극,2021-07-22,2021-08-01,17:00:00,18:35:00,35.16057564,126.8798731
113,"외로운 사람, 힘든 사람, 슬픈 사람-일요일",광주 유스퀘어문화관 동산아트홀,연극,2021-07-22,2021-08-01,15:00:00,16:35:00,35.16057564,126.8798731
114,나의ps파트너 - 광주공연-화요일,상무지구 기분좋은극장,연극,2021-07-29,2021-08-29,20:00:00,21:40:00,35.15491016,126.8488483
115,나의ps파트너 - 광주공연-수요일,상무지구 기분좋은극장,연극,2021-07-29,2021-08-29,20:00:00,21:40:00,35.15491016,126.8488483
116,나의ps파트너 - 광주공연-목요일,상무지구 기분좋은극장,연극,2021-07-29,2021-08-29,20:00:00,21:40:00,35.15491016,126.8488483
117,나의ps파트너 - 광주공연-금요일,상무지구 기분좋은극장,연극,2021-07-29,2021-08-29,20:00:00,21:40:00,35.15491016,126.8488483
118,나의ps파트너 - 광주공연-토요일,상무지구 기분좋은극장,연극,2021-07-29,2021-08-29,15:00:00,16:40:00,35.15491016,126.8488483
119,나의ps파트너 - 광주공연-일요일,상무지구 기분좋은극장,연극,2021-07-29,2021-08-29,18:00:00,19:40:00,35.15491016,126.8488483
120,제 3회 콰르텟 노이 정기연주회,광주 유스퀘어문화관 금호아트홀,모차르트 서거 230주년 기념 제 3회 콰르텟 노이 정기연주회,2021-08-02,2021-08-02,19:30:00,20:30:00,35.16057564,126.8798731
121,[제12회금호주니어콘서트] 서지수 첼로 독주회,광주 유스퀘어문화관 금호아트홀,첼로 독주,2021-08-11,2021-08-11,19:30:00,20:50:00,35.16057564,126.8798731
122,[제12회금호주니어콘서트] 박채원 바순 독주회,광주 유스퀘어문화관 금호아트홀,바순 독주,2021-08-12,2021-08-12,19:30:00,20:30:00,35.16057564,126.8798731
123,[제12회금호주니어콘서트] 소프라노 조윤지 독창회,광주 유스퀘어문화관 금호아트홀,소프라노 독창,2021-08-17,2021-08-17,19:30:00,20:30:00,35.16057564,126.8798731
124,[제12회금호주니어콘서트] 황민혜 클라리넷 독주회,광주 유스퀘어문화관 금호아트홀,클라리넷 독주,2021-08-18,2021-08-18,19:30:00,20:34:00,35.16057564,126.8798731
