,행사명,장소,행사내용,행사 시작일자,행사 종료일자,행사 시작시각,행사 종료시각,위도,경도
26,주시립발레단 특별기획공연 [빛의 정원365]-1,광주광역시 북구 광주문화예술회관 소극장,광주시립발레단 특별기획 공연으로 새로운 창작발레와 함께 클래식 명작 발레를 선보입니다,2021-09-10,2021-09-10,19:30:00,20:40:00,35.17820945,126.881993
27,주시립발레단 특별기획공연 [빛의 정원365]-2,광주광역시 북구 광주문화예술회관 소극장,광주시립발레단 특별기획 공연으로 새로운 창작발레와 함께 클래식 명작 발레를 선보입니다,2021-09-11,2021-09-11,14:00:00,15:10:00,35.17820945,126.881993
28,광주문화예술회관 기획공연 포커스 <서사무엘 UNITY>,광주광역시 북구 광주문화예술회관 소극장,끊임없이 새로움을 추구하는 현재진화형 뮤지션,2021-09-14,2021-09-14,19:30:00,20:50:00,35.17820945,126.881993
29,"GSO 오티움 콘서트Ⅴ, Russian Dance-1",광주광역시 북구 광주문화예술회관 소극장,"차이콥스키, ‘호두까기 인형’ 중에서 스트라빈스키, 불새 모음곡 (1919 version)",2021-09-16,2021-09-16,11:00:00,12:10:00,35.17820945,126.881993
30,"GSO 오티움 콘서트Ⅴ, Russian Dance-2",광주광역시 북구 광주문화예술회관 소극장,"차이콥스키, ‘호두까기 인형’ 중에서 스트라빈스키, 불새 모음곡 (1919 version)",2021-09-16,2021-09-16,19:30:00,20:40:00,35.17820945,126.881993
31,GAC 11시 음악산책 6 - 김가온의Thanks giving Day,광주광역시 북구 광주문화예술회관 소극장,그럼에도 불구하고 여전히 베풀고 위로해 주는 자연에 대한 감사의 축제,2021-09-24,2021-09-24,11:00:00,12:10:00,35.17820945,126.881993
32,포시즌-박수를 보내다 : 문화예술회관 30주년 기념  아스토르 피아졸라 퀸텟  내한공연,광주광역시 북구 광주문화예술회관 소극장,“아스토르 피아졸라의 탄생 100주년 기념 월드투어”,2021-10-04,2021-10-04,19:30:00,20:50:00,35.17820945,126.881993
33,광주시립발레단 특별기획공연 [발레 살롱콘서트Ⅳ]-1,광주광역시 북구 광주문화예술회관 소극장,광주시립발레단 발레살롱콘서트,2021-10-08,2021-10-08,19:30:00,20:40:00,35.17820945,126.881993
34,광주시립발레단 특별기획공연 [발레 살롱콘서트Ⅳ]-2,광주광역시 북구 광주문화예술회관 소극장,광주시립발레단 발레살롱콘서트,2021-10-09,2021-10-09,14:00:00,15:10:00,35.17820945,126.881993
35,"GSO 오티움 콘서트Ⅵ 비발디와 피아졸라의 사계  가을, 겨울 -1",광주광역시 북구 광주문화예술회관 소극장,"비발디, 사계 중  가을 ,  겨울  피아졸라, 부에노스 아이레스의 사계  가을, 겨울 ",2021-10-14,2021-10-14,11:00:00,12:10:00,35.17820945,126.881993
36,"GSO 오티움 콘서트Ⅵ 비발디와 피아졸라의 사계  가을, 겨울 -2",광주광역시 북구 광주문화예술회관 소극장,"비발디, 사계 중  가을 ,  겨울  피아졸라, 부에노스 아이레스의 사계  가을, 겨울 ",2021-10-14,2021-10-14,19:30:00,20:40:00,35.17820945,126.881993
